time,clearsky,azimuth,zenith,solar,temp
2015-01-01,287.1804847956328,2.233026238806762,1.4777726167945713,2877.099722,19.69
2015-01-01,678.0694183221497,2.4315656726366313,1.3374697870974108,5025.203333,23.02
2015-01-01,816.4935826427642,2.6555761628758607,1.2282241929904925,6407.568611000001,26.22
2015-01-01,872.128664554132,2.9039620343138304,1.1594473888774262,7037.501667,28.58
2015-01-01,885.8328166362653,3.1670818602836293,1.1388201466022367,6647.805556,29.92
2015-01-01,865.3953432767834,3.428547813622193,1.1689811344205867,5591.363332999999,31.08
2015-01-01,798.8887290001728,3.6727950043602857,1.2461277389595593,1343.793889,31.76
2015-01-01,633.313704360799,3.8918700536355826,1.3619896273937686,430.666111,31.92
2015-01-02,287.27343708853743,2.2306090800113036,1.4778030718449278,364.18249999999995,30.9
2015-01-02,678.7905670783755,2.4291079339805686,1.337170822218358,1694.9655559999999,32.79
2015-01-02,817.3271316752368,2.653123726975542,1.227527466923,1219.3316670000002,35.46
2015-01-02,873.0729501196088,2.901635937950794,1.1583116629930166,1288.3975,36.84
2015-01-02,886.9781358873507,3.1650490283474912,1.1372577438943652,966.726944,36.98
2015-01-02,866.9341500621586,3.4269406262980167,1.167064372167952,1941.280556,37.03
2015-01-02,801.2874299517688,3.671647876689818,1.2439615209104475,1360.076944,36.44
2015-01-02,638.071018699,3.891131754615459,1.359673222868256,572.583611,36.19
2015-01-03,287.8188645657512,2.2281249159216334,1.4777191293872642,753.9741670000001,21.13
2015-01-03,679.6731583706785,2.4265977846694864,1.3367503599925674,1219.874167,23.78
2015-01-03,818.2378570901794,2.6506386816927416,1.2267031071132517,934.238056,26.79
2015-01-03,874.0645794601957,2.8993032737299287,1.1570451331319693,1173.0480559999999,28.3
2015-01-03,888.1598776192224,3.1630398075874337,1.1355662874722798,1103.354444,29.67
2015-01-03,868.508949231348,3.4253860727407925,1.1650258230603836,395.168056,30.62
2015-01-03,803.7323755776404,3.670576349921221,1.2416848671261174,149.322222,30.83
2015-01-04,806.2190256763353,3.6695815880057925,1.2392989741923541,119.5275,34.14
2015-01-05,290.2703603884043,2.222961710381898,1.4772067243593363,1385.6241669999997,32.73
2015-01-05,681.9160177329418,2.421426073847941,1.3355446766670456,3858.8986110000005,31.64
2015-01-05,820.2840527787181,2.645576267565165,1.2246722790371682,5288.493333,31.08
2015-01-05,876.1827635857414,2.8946235255325945,1.154121484720584,6792.9138889999995,31.25
2015-01-05,890.6243129997828,3.1590974136459935,1.1317990566921654,2727.989722,30.13
2015-01-05,871.7553410903299,3.422439964744763,1.1605872330698346,4578.116389,28.86
2015-01-05,808.7428355046686,3.668664736180948,1.2368050770028278,2012.481111,27.06
2015-01-05,652.7607412225251,3.8894688773843784,1.3521446459276676,678.950556,26.01
2015-01-06,292.1748191889347,2.220285762819208,1.4767777266628568,215.527222,13.52
2015-01-06,683.2717292211283,2.4187674190361856,1.334759450792549,407.059444,14.57
2015-01-06,821.4156175656193,2.6430016295118817,1.2234663316537298,469.055,15.16
2015-01-06,877.3054828035924,2.8922790565955347,1.1524653960305704,373.59527799999995,15.07
2015-01-06,891.9026699101458,3.157166824209673,1.1297248168313478,433.4525,15.53
2015-01-06,873.4212341739179,3.421050934388935,1.1581892353794008,509.511111,16.84
2015-01-06,811.2992705438561,3.6678269261607337,1.2342044549579456,397.46972200000005,17.19
2015-01-07,684.7797763996808,2.4160621804892943,1.333852718514963,1009.5880559999999,13.32
2015-01-07,822.6165568310822,2.640399857569969,1.222133795042642,1123.4344440000002,18.97
2015-01-07,878.4678846039551,2.8899332633990507,1.1506805684082597,2572.5994440000004,21.19
2015-01-07,893.2087877821403,3.155265025466216,1.1275246000993275,7493.8475,21.89
2015-01-07,875.1117369046124,3.419719595392503,1.15567354709195,2584.296111,21.65
2015-01-07,813.8838189275195,3.6670692773506395,1.2314984368631836,1663.682778,20.81
2015-01-07,662.8047636887754,3.8888295028994126,1.346657121633387,640.715833,19.63
2015-01-08,297.3269852882833,2.2147530488308,1.4755731865911366,2937.461111,-1.33
2015-01-08,686.4366756983311,2.413311833040469,1.3328246103085097,5086.320556000001,1.64
2015-01-08,823.8844293383227,2.637772320559158,1.2206750623494136,6909.707222000001,5.38
2015-01-08,879.6677929260545,2.887587450203886,1.1487676477193212,7767.8380560000005,9.34
2015-01-08,894.5403468141498,3.153393306191943,1.1251993035991268,7805.527499999999,13.24
2015-01-08,876.8239281262919,3.418447199774419,1.1530413187607276,6303.442777999999,16.24
2015-01-08,816.4920027691883,3.666392895397833,1.2286884036063048,1632.481389,18.61
2015-01-08,667.8739042611962,3.8886531987217605,1.3437773348882203,569.827222,19.53
2015-01-09,895.8949794181477,3.1515529528341473,1.1227498808139842,137.716389,25.56
2015-01-09,878.5548728964542,3.417234993282476,1.1502937565096991,67.056111,27.1
2015-01-10,690.1808546473937,2.4076817572322953,1.330405079336263,132.721111,13.19
2015-01-10,826.6103314689512,2.632445434520668,1.2173808718823067,224.57,16.9
2015-01-10,882.1709844409522,2.882900971352356,1.1445603969896105,284.158056,18.85
2015-01-10,897.270278464799,3.149745246752799,1.1201773424005437,315.67972199999997,20.0
2015-01-10,880.3016315652499,3.416084212469417,1.1474321222390371,287.858333,20.9
2015-01-10,821.7616056067036,3.665288269018456,1.2227620784686046,87.35777800000001,21.54
2015-01-11,828.0626396355569,2.6297488247964016,1.2155464956237523,76.949722,14.64
2015-01-11,883.4695028434006,2.8805628981261022,1.1422676483935645,124.982778,18.61
2015-01-12,883.83086150353,3.413971823694098,1.141371965086502,235.8375,33.75
